Emiten,Tanggal,Sebab
BBCA,2021-01-25,Harga Selisih
BBCA,2021-01-26,Harga Selisih
BBCA,2021-01-27,Harga Selisih
BBCA,2021-01-28,Harga Selisih
BBCA,2021-01-29,Harga Selisih
BBCA,2021-02-01,Harga Selisih
BBCA,2021-02-02,Harga Selisih
BBCA,2021-02-03,Harga Selisih
BBCA,2021-02-04,Harga Selisih
BBCA,2021-02-05,Harga Selisih
BBCA,2021-02-08,Harga Selisih
BBCA,2021-02-09,Harga Selisih
BBCA,2021-02-10,Harga Selisih
BBCA,2021-02-11,Harga Selisih
BBCA,2021-02-15,Harga Selisih
BBCA,2021-02-16,Harga Selisih
BBCA,2021-02-17,Harga Selisih
BBCA,2021-02-18,Harga Selisih
BBCA,2021-02-19,Harga Selisih
BBCA,2021-02-22,Harga Selisih
BBCA,2021-02-23,Harga Selisih
BBCA,2021-02-24,Harga Selisih
BBCA,2021-02-25,Harga Selisih
BBCA,2021-02-26,Harga Selisih
BBCA,2021-03-01,Harga Selisih
BBCA,2021-03-02,Harga Selisih
BBCA,2021-03-03,Harga Selisih
BBCA,2021-03-04,Harga Selisih
BBCA,2021-03-05,Harga Selisih
BBCA,2021-03-08,Harga Selisih
BBCA,2021-03-09,Harga Selisih
BBCA,2021-03-10,Harga Selisih
BBCA,2021-03-12,Harga Selisih
BBCA,2021-03-15,Harga Selisih
BBCA,2021-03-16,Harga Selisih
BBCA,2021-03-17,Harga Selisih
BBCA,2021-03-18,Harga Selisih
BBCA,2021-03-19,Harga Selisih
BBCA,2021-03-22,Harga Selisih
BBCA,2021-03-23,Harga Selisih
BBCA,2021-03-24,Harga Selisih
BBCA,2021-03-25,Harga Selisih
BBCA,2021-03-26,Harga Selisih
BBCA,2021-03-29,Harga Selisih
BBCA,2021-03-30,Harga Selisih
BBCA,2021-03-31,Harga Selisih
BBCA,2021-04-01,Harga Selisih
BBCA,2021-04-05,Harga Selisih
BBCA,2021-04-06,Harga Selisih
BBCA,2021-04-07,Harga Selisih
BBCA,2021-04-08,Harga Selisih
BBCA,2021-04-09,Harga Selisih
BBCA,2021-04-12,Harga Selisih
BBCA,2021-04-13,Harga Selisih
BBCA,2021-04-14,Harga Selisih
BBCA,2021-04-15,Harga Selisih
BBCA,2021-04-16,Harga Selisih
BBCA,2021-04-19,Harga Selisih
BBCA,2021-04-20,Harga Selisih
